Sr. No.,Model,Year,Current year,Selling Price,Age of Vehicle,Car Condition,Kilometers Driven, Current Price ,Owner,Fuel Type,Transmission,Insurance,Current Price (Unformatted),Price Formatting
598,HyundaiElitei20SPORTZ,2017,2021,554899,4,4.4,68730,722000,Second Owner,Diesel,Manual,21-07-2021,Rs.7.22 Lakh,7.22
599,HondaJazz1.2SV,2015,2021,482299,6,4.5,22898,678900,First Owner,Petrol,Manual,30-07-2021,"Rs.6,78,900",678900
600,MarutiBalenoDELTADDIS,2016,2021,524699,5,4.7,43702,746000,First Owner,Diesel,Manual,Zero_Dep,Rs.7.46 Lakh,7.46
601,SkodaRapidELEGANCE1.6MPFI,2014,2021,483499,7,4.1,65919,1050000,Third Owner,Petrol,Automatic,22-03-2021,Rs.10.50 Lakh,10.5
602,MarutiErtigaVDI,2012,2021,413099,9,4.4,91724,987000,Second Owner,Diesel,Manual,15-01-2021,9.87 Lakh,9.87
603,MarutiRitz,2009,2021,327999,12,4.5,54431,545000,First Owner,Petrol,Manual,31-07-2021,Rs.5.45 Lakh,5.45
604,HyundaiEonMAGNA,2013,2021,194999,8,4.2,110501,416000,First Owner,Petrol,Manual,Expired,Rs.4.16 Lakh,4.16
605,Hyundaii20SPORTZ1.2,2011,2021,333499,10,4.2,44142,859000,Third Owner,Petrol,Manual,28-05-2021,Rs.8.59 Lakh,8.59
606,MarutiSwift,2014,2021,546799,7,4.5,24093,549000,First Owner,Petrol,Manual,17-10-2021,Rs.5.49 Lakh,5.49
607,HyundaiGrandi10ASTAAT1.2KAPPA,2015,2021,451799,6,4.5,30537,552005,Second Owner,Petrol,Manual,3/7/2021,"Rs.5,52,005",552005
608,HyundaiVerna1.6SXVTVTAT,2018,2021,1224699,3,4.9,1827,1174000,First Owner,Petrol,Automatic,21-04-2021,11.74 Lakh,11.74
609,MarutiSwift,2012,2021,313699,9,4.3,102024,549000,First Owner,Diesel,Manual,18-12-2020,Rs.5.49 Lakh,5.49
610,HondaCitySMT,2010,2021,297867,11,4.5,39947,1099000,First Owner,Petrol,Manual,13-07-2021,Rs.10.99 Lakh,10.99
611,RenaultDuster85PS,2015,2021,551899,6,4.3,59607,1046000,First Owner,Diesel,Manual,Expired,Rs.10.46 Lakh,10.46
612,MarutiAlto,2009,2021,150299,12,4.5,57358,375000,First Owner,Petrol,Manual,24-04-2021,Rs.3.75 Lakh,3.75
613,HondaCivic1.8V,2007,2021,201208,14,4.3,61886,1513000,Second Owner,Petrol,Manual,24-06-2021,Rs.15.13 Lakh,15.13
614,Hyundaii20SPORTZ1.2,2012,2021,279899,9,4,107384,859000,First Owner,Petrol,Manual,8/12/2020,Rs.8.59 Lakh,8.59
615,MarutiRitz,2009,2021,143099,12,4,86813,545000,Third Owner,Petrol,Manual,2/9/2021,Rs.5.45 Lakh,5.45
616,MarutiSwift,2012,2021,450358,9,4.3,29624,549000,First Owner,Petrol,Manual,14-03-2021,Rs.5.49 Lakh,5.49
617,MarutiSwift,2012,2021,318199,9,4.3,80935,549000,First Owner,Diesel,Manual,27-08-2021,Rs.5.49 Lakh,5.49
618,VolkswagenPoloCOMFORTLINE1.2L,2016,2021,443699,5,4.3,60295,617000,Second Owner,Petrol,Manual,24-11-2021,0,0
619,HyundaiGrandi10SPORTZ1.2KAPPA,2016,2021,421699,5,4.4,77031,591699,First Owner,Petrol,Manual,9/2/2021,"Rs.591,699","591,699"
620,MarutiCiazVDI,2015,2021,470599,6,4.5,78595,892031,First Owner,Diesel,Manual,8/2/2021,"Rs.8,92,031",892031
621,HyundaiEon,2012,2021,271999,9,4.3,65435,385000,First Owner,Petrol,Manual,4/1/2022,Rs.3.85 Lakh,3.85
622,MarutiErtigaVXISMART,2019,2021,874599,2,4.8,8816,844000,First Owner,Petrol,Automatic,Zero_Dep,Rs.8.44 Lakh,8.44
623,Hyundaii20SPORTZ1.2,2012,2021,322799,9,4.3,56736,859000,First Owner,Petrol,Manual,27-06-2021,Rs.8.59 Lakh,8.59
624,MarutiEeco5STRCNGWITHAC,2017,2021,293399,4,4.5,44254,518000,First Owner,Petrol + CNG,Manual,Expired,Rs.5.18 Lakh,5.18
625,HyundaiCreta1.4EPLUS,2019,2021,1070040,2,4.7,48507,999990,First Owner,Diesel,Manual,Expired,"Rs.9,99,990",999990
626,MarutiAlto,2007,2021,189999,14,3.9,55899,375000,Third Owner,Petrol,Manual,8/10/2021,Rs.3.75 Lakh,3.75
627,Hyundaii20SPORTZO1.4,2012,2021,301399,9,4.4,87995,759000,Third Owner,Diesel,Manual,28-05-2021,Rs.7.59 Lakh,7.59
628,Hyundaii10MAGNA1.2,2011,2021,226599,10,4.2,48246,461681,First Owner,Petrol,Manual,26-07-2021,"Rs.4,61,681",461681
629,MarutiErtigaVDI,2013,2021,492724,8,4.3,51981,987000,First Owner,Diesel,Manual,24-04-2021,9.87 Lakh,9.87
630,MarutiCiazZETA1.4,2018,2021,657499,3,4.5,47051,979000,First Owner,Petrol,Manual,5/7/2021,Rs.9.79 Lakh,9.79
631,HondaBrio1.2SMTI,2012,2021,264999,9,4.4,108048,523000,First Owner,Petrol,Manual,8/3/2021,Rs.5.23 Lakh,5.23
632,HyundaiSantroXing,2013,2021,298899,8,4.2,33828,400374,Second Owner,Petrol,Manual,29-12-2020,"Rs.4,00,374",400374
633,MarutiSwiftDzireVXI1.2BS,2013,2021,312699,8,4.3,148847,657000,First Owner,Petrol,Manual,7/1/2022,Rs.6.57 Lakh,6.57
634,Hyundaii20ASTA1.4,2013,2021,377799,8,4.5,69521,900000,First Owner,Diesel,Manual,21-06-2021,Rs.9 Lakh,9
635,MarutiCelerio,2019,2021,451499,2,4.9,4370,453000,First Owner,Petrol,Manual,19-03-2021,Rs.4.53 Lakh,4.53
636,MarutiSwiftVXI,2019,2021,748585,2,4.9,10138,619000,First Owner,Petrol,Automatic,12/3/2021,Rs.6.19 Lakh,6.19
637,MahindraXUV500W8,2014,2021,707999,7,4.3,84226,1550000,First Owner,Diesel,Manual,30-10-2021,Rs.15.50 Lakh,15.5
638,HondaAmaze1.5SMTI,2014,2021,374500,7,4,89309,826000,First Owner,Diesel,Manual,5/5/2021,Rs.8.26 Lakh,8.26
639,MarutiWagonR1.0,2013,2021,289499,8,4.3,68719,498000,First Owner,Petrol,Manual,3/7/2021,Rs.4.98 Lakh,4.98
640,MarutiBalenoALPHADDIS,2017,2021,687299,4,4.5,61489,590000,First Owner,Diesel,Manual,9/8/2021,"Rs.5,90,000",590000
641,MarutiSwiftDzireVDI,2016,2021,655099,5,4.6,34078,757622,First Owner,Diesel,Manual,Zero_Dep,"Rs.7,57,622",757622
642,Hyundaii10SPORTZ1.2,2013,2021,434399,8,4.5,20524,599000,First Owner,Petrol,Manual,Expired,Rs.5.99 Lakh,5.99
643,RenaultKwidRXL1.0EASY-R,2017,2021,351399,4,4.5,29546,496000,Second Owner,Petrol,Automatic,Comp,Rs.4.96 Lakh,4.96
644,MahindraScorpio,2015,2021,806599,6,4.5,50968,1198000,First Owner,Diesel,Manual,Expired,Rs.11.98 Lakh,11.98
645,MarutiSwiftDzireVDIBS,2014,2021,520399,7,4.4,75129,561000,First Owner,Diesel,Manual,15-07-2021,Rs.5.61 Lakh,5.61
646,MarutiSwiftDzireVXI1.2BS,2012,2021,336999,9,4.1,50834,657000,Second Owner,Petrol,Manual,23-05-2021,Rs.6.57 Lakh,6.57
647,Hyundaii20MAGNAO,2010,2021,197799,11,4.1,85191,679000,First Owner,Petrol,Manual,11/5/2021,Rs.6.79 Lakh,6.79
648,MarutiRitz,2011,2021,313599,10,4,105576,545000,First Owner,Diesel,Manual,21-11-2021,Rs.5.45 Lakh,5.45
649,HondaAmaze1.5VXMTI,2013,2021,393899,8,4.1,99296,758000,First Owner,Diesel,Manual,27-05-2021,Rs.7.58 Lakh,7.58
650,HondaJazz1.2V,2016,2021,579399,5,4,10430,735000,Second Owner,Petrol,Automatic,18-07-2021,"Rs.7,35,000",735000
651,MarutiEeco5STRWITHAC,2017,2021,356852,4,4.6,28319,438000,Second Owner,Petrol + CNG,Manual,20-06-2021,Rs.4.38 Lakh,4.38
652,HondaJazz1.2BASEI,2011,2021,275399,10,4.3,83659,855000,First Owner,Petrol,Manual,1/7/2021,"Rs.8,55,000",855000
653,MarutiSwift,2013,2021,353099,8,4.4,78289,549000,First Owner,Petrol + CNG,Manual,1/1/2021,Rs.5.49 Lakh,5.49
654,HondaAmaze1.5VXMTI,2013,2021,333399,8,3.9,197997,758000,First Owner,Diesel,Manual,16-06-2021,Rs.7.58 Lakh,7.58
655,HyundaiGrandi101.2ASTA(O),2016,2021,540762,5,4.6,11636,552005,First Owner,Petrol,Automatic,Expired,"Rs.5,52,005",552005
656,MarutiAltoK10,2016,2021,267599,5,4.7,18946,400000,First Owner,Petrol,Manual,14-11-2021,Rs.4 Lakh,4
657,HondaBrio1.2SMTI,2013,2021,235458,8,4.3,70498,523000,First Owner,Petrol,Manual,8/6/2021,Rs.5.23 Lakh,5.23
658,MarutiAlto800,2017,2021,309199,4,4.8,19130,448000,First Owner,Petrol,Manual,11/1/2022,Rs.4.48 Lakh,4.48
659,HondaBrio1.2VMTI,2012,2021,307559,9,4,58581,575000,First Owner,Petrol,Manual,7/11/2021,Rs.5.75 Lakh,5.75
660,MarutiSwiftVDIGlory,2015,2021,540399,6,4.8,35499,632000,First Owner,Diesel,Manual,Third_party,Rs.6.32 Lakh,6.32
661,HondaCitySMT,2008,2021,210834,13,3.9,194040,1099000,Second Owner,Petrol + CNG,Manual,25-11-2021,Rs.10.99 Lakh,10.99
662,MahindraScorpio,2014,2021,921499,7,4.8,24847,1198000,First Owner,Diesel,Manual,10/1/2022,Rs.11.98 Lakh,11.98
663,MarutiSwift,2014,2021,437699,7,4.2,46070,549000,First Owner,Petrol,Manual,Expired,Rs.5.49 Lakh,5.49
664,MarutiWagonR1.0LXI,2014,2021,329299,7,4.6,32768,465000,First Owner,Petrol + CNG,Manual,27-01-2021,Rs.4.65 Lakh,4.65
665,MarutiAlto800,2015,2021,272974,6,4.6,30871,448000,First Owner,Petrol,Manual,1/4/2021,Rs.4.48 Lakh,4.48
666,MarutiBalenoDELTA1.2,2016,2021,548199,5,4.7,26568,590000,Second Owner,Petrol,Manual,23-06-2021,"Rs.5,90,000",590000
667,HondaAmaze1.2VXMTI,2013,2021,343899,8,4.2,68821,815000,First Owner,Petrol,Manual,5/11/2021,Rs.8.15 Lakh,8.15
668,ToyotaInnova2.5GX8STRBS,2014,2021,751199,7,4.4,80584,1407000,First Owner,Diesel,Manual,2/1/2021,Rs.14.07 Lakh,14.07
669,Hyundaii20SPORTZ1.2,2010,2021,229599,11,4.1,39306,859000,First Owner,Petrol,Manual,13-10-2021,Rs.8.59 Lakh,8.59
670,MarutiSwift,2009,2021,229399,12,3.7,123493,549000,Second Owner,Diesel,Manual,27-01-2021,Rs.5.49 Lakh,5.49
671,MarutiCelerioVXI,2015,2021,409099,6,4.5,55037,492000,First Owner,Petrol,Automatic,11/5/2021,Rs.4.92 Lakh,4.92
672,MarutiWagonR1.0,2010,2021,244506,11,4.2,60385,498000,First Owner,Petrol,Manual,2/11/2021,Rs.4.98 Lakh,4.98
673,HyundaiVernaFLUIDIC1.6SXCRDI,2013,2021,420499,8,4.4,74271,1173000,First Owner,Diesel,Manual,Expired,Rs.11.73 Lakh,11.73
674,MarutiVitaraBrezza,2019,2021,789304,2,4.8,32575,940000,First Owner,Diesel,Manual,28-02-2021,Rs.9.40 Lakh,9.4
675,VolkswagenVentoHIGHLINE,2010,2021,252299,11,4.1,62752,1209000,First Owner,Petrol,Manual,19-09-2021,12.09 Lakh,12.09
676,Hyundaii20SPORTZ1.2,2011,2021,252499,10,4.3,131343,859000,First Owner,Petrol,Manual,21-10-2021,Rs.8.59 Lakh,8.59
677,DatsunRediGoT,2017,2021,300899,4,4.9,4730,386000,First Owner,Petrol,Manual,19-08-2021,Rs.3.86 Lakh,3.86
678,MarutiSwiftVDI,2015,2021,409199,6,4.2,62806,698000,First Owner,Diesel,Manual,2/7/2021,Rs.6.98 Lakh,6.98
679,MarutiIGNISZETA1.2K12,2017,2021,526099,4,4.6,19084,597000,Second Owner,Petrol,Automatic,4/9/2021,Rs.5.97 Lakh,5.97
680,MarutiZenEstilo,2008,2021,116199,13,3.9,64268,395000,Second Owner,Petrol,Manual,Expired,Rs.3.95 Lakh,3.95
681,MarutiAltoK10,2015,2021,313199,6,4.5,24612,400000,Second Owner,Petrol,Manual,Expired,Rs.4 Lakh,4
682,TataTiagoXZ1.2,2016,2021,402647,5,4.5,24990,653000,First Owner,Petrol,Manual,Expired,Rs.6.53 Lakh,6.53
683,Hyundaii10MAGNA,2009,2021,209499,12,3.9,98364,462100,Second Owner,Petrol,Manual,25-08-2021,"Rs.4,62,100",462100
684,HondaCitySVMT,2014,2021,518499,7,4.2,93529,929000,Second Owner,Petrol,Manual,Comp,Rs.9.29 Lakh,9.29
685,HondaCityVXCVT,2014,2021,649499,7,4.8,50552,1285000,First Owner,Petrol,Automatic,8/1/2021,Rs.12.85 Lakh,12.85
686,MarutiAltoK10,2011,2021,173699,10,4.4,32089,400000,Second Owner,Petrol,Manual,3/11/2021,Rs.4 Lakh,4
687,HondaBrio1.2V,2012,2021,253499,9,4.3,32830,575000,Third Owner,Petrol,Automatic,23-01-2022,Rs.5.75 Lakh,5.75
688,HondaBrio1.2VXMTI,2016,2021,423299,5,4.3,56335,575000,First Owner,Petrol,Manual,13-10-2021,Rs.5.75 Lakh,5.75
689,MarutiSwift,2012,2021,306720,9,4.2,66445,549000,First Owner,Diesel,Manual,27-12-2021,Rs.5.49 Lakh,5.49
690,MarutiCelerio,2014,2021,269399,7,4,25807,453000,First Owner,Petrol,Manual,3/11/2021,Rs.4.53 Lakh,4.53
691,BMW3Series,2012,2021,891599,9,4.4,67267,4510000,First Owner,Diesel,Automatic,Comp,Rs.45.10 Lakh,45.1
692,MarutiSwiftDzireVXI1.2BS,2012,2021,364499,9,4.1,34414,657000,First Owner,Petrol,Manual,Expired,Rs.6.57 Lakh,6.57
693,MarutiWagonR,2010,2021,294599,11,4.4,60443,545000,First Owner,Petrol,Manual,8/9/2021,Rs.5.45 Lakh,5.45
694,Hyundaii10MAGNA1.1,2015,2021,274799,6,4.4,44670,462100,Third Owner,Petrol,Manual,Expired,"Rs.4,62,100",462100
695,MarutiSwiftDzireVDIBS,2014,2021,406899,7,4.3,72388,561000,First Owner,Diesel,Manual,8/2/2021,Rs.5.61 Lakh,5.61
696,HyundaiNEWSANTROASTA1.1,2019,2021,517199,2,4.9,6203,588000,First Owner,Petrol,Manual,Zero_Dep,Rs.5.88 Lakh,5.88
697,VolkswagenPoloCOMFORTLINE1.2L,2016,2021,380699,5,4.3,101779,617000,First Owner,Petrol,Manual,5/12/2020,0,0
698,MarutiEeco5STRWITHAC,2018,2021,410399,3,4.6,28457,438000,First Owner,Petrol,Manual,26-02-2021,Rs.4.38 Lakh,4.38
699,MarutiWagonR1.0,2014,2021,289399,7,4.3,68927,498000,First Owner,Petrol,Manual,29-06-2021,Rs.4.98 Lakh,4.98
700,MarutiSwiftDzireVDIBS,2012,2021,461599,9,4.6,38235,561000,First Owner,Diesel,Manual,27-09-2021,Rs.5.61 Lakh,5.61
701,MarutiWagonR1.0,2010,2021,228099,11,4,93590,498000,First Owner,Petrol,Manual,20-12-2021,Rs.4.98 Lakh,4.98
702,HondaAmaze1.5SMTI,2013,2021,296199,8,4.2,87405,826000,First Owner,Diesel,Manual,Expired,Rs.8.26 Lakh,8.26
703,FordEcosport1.5AMBIENTE,2014,2021,409599,7,4.4,104023,975000,First Owner,Diesel,Manual,24-03-2021,Rs.9.75 Lakh,9.75
704,MarutiEeco5STRWITHAC,2017,2021,378499,4,4.7,24962,438000,Second Owner,Petrol,Manual,6/2/2021,Rs.4.38 Lakh,4.38
705,HyundaiGrandi10ASTA1.1(O),2016,2021,487799,5,4.5,33243,500000,Second Owner,Diesel,Manual,29-05-2021,Rs.5.00 Lakh,5
706,MarutiWagonR1.0LXI,2014,2021,312289,7,4.5,78330,465000,Second Owner,Petrol + CNG,Manual,18-11-2021,Rs.4.65 Lakh,4.65
707,HondaAmaze1.5VXMTI,2013,2021,318899,8,4.2,63748,758000,Third Owner,Diesel,Manual,4/11/2021,Rs.7.58 Lakh,7.58
708,Hyundaii10MAGNA1.2,2013,2021,346999,8,4.3,44802,461681,Second Owner,Petrol,Manual,17-03-2021,"Rs.4,61,681",461681
709,MarutiSwiftDzireVXI1.2BS,2012,2021,330220,9,4.2,82666,657000,First Owner,Petrol,Manual,28-03-2021,Rs.6.57 Lakh,6.57
710,MarutiSwiftDzireVDIBS,2012,2021,287999,9,4.1,74785,561000,Second Owner,Diesel,Manual,19-04-2021,Rs.5.61 Lakh,5.61
711,MarutiWagonR1.0,2015,2021,349899,6,4.3,30401,498000,First Owner,Petrol,Manual,13-07-2021,Rs.4.98 Lakh,4.98
712,MarutiSwiftVXI,2016,2021,464510,5,4.4,27412,619000,Second Owner,Petrol,Manual,28-10-2021,Rs.6.19 Lakh,6.19
713,MarutiSwiftDzireLXI1.2BS,2012,2021,295362,9,4.5,41541,569000,First Owner,Petrol,Manual,15-02-2022,Rs.5.69 Lakh,5.69
714,MarutiWagonR1.0,2011,2021,197438,10,4.3,64370,498000,Third Owner,Petrol + CNG,Manual,Expired,Rs.4.98 Lakh,4.98
715,MarutiVitaraBrezzaLDI,2016,2021,583999,5,4.6,57304,762742,Second Owner,Diesel,Manual,24-09-2021,"Rs.7,62,742",762742
716,MarutiAlto,2011,2021,228499,10,4.2,6943,375000,Second Owner,Petrol,Manual,10/4/2021,Rs.3.75 Lakh,3.75
717,MarutiRitz,2009,2021,203068,12,4.4,48907,545000,First Owner,Petrol,Manual,22-08-2021,Rs.5.45 Lakh,5.45
718,VolkswagenPoloHIGHLINE1.2L,2012,2021,327099,9,4.1,77103,709000,Second Owner,Diesel,Manual,29-04-2021,Rs.7.09 Lakh,7.09
719,ToyotaEtiosLivaD4D,2012,2021,282199,9,4.3,87827,650000,First Owner,Diesel,Manual,15-04-2021,Rs.6.50 Lakh,6.5
720,MarutiSwiftDzireVXI1.2BS,2012,2021,297199,9,4.5,52719,657000,Second Owner,Petrol,Manual,24-01-2021,Rs.6.57 Lakh,6.57
721,MarutiWagonR1.0LXI,2015,2021,358999,6,4.3,51564,465000,First Owner,Petrol + CNG,Manual,14-04-2021,Rs.4.65 Lakh,4.65
722,HondaCitySMT,2011,2021,305199,10,4.2,98697,1099000,First Owner,Petrol,Manual,5/5/2021,Rs.10.99 Lakh,10.99
723,VolkswagenVentoHIGHLINE,2011,2021,264999,10,4.1,48128,1209000,First Owner,Petrol,Manual,27-02-2021,12.09 Lakh,12.09
724,HyundaiEonERA,2018,2021,315999,3,4.5,30522,332000,First Owner,Petrol,Manual,9/3/2021,Rs.3.32 Lakh,3.32
725,MarutiCelerioX,2018,2021,432199,3,4.5,31973,499000,First Owner,Petrol,Manual,21-09-2021,Rs.4.99 Lakh,4.99
726,RenaultKwid,2016,2021,316199,5,4.5,13865,312000,First Owner,Petrol,Manual,10/7/2021,Rs.3.12 Lakh,3.12
727,MarutiCelerioZXI,2015,2021,435299,6,4.6,34587,558000,Second Owner,Petrol,Automatic,13-06-2021,Rs.5.58 Lakh,5.58
728,MarutiSwift,2014,2021,366899,7,4,103671,549000,First Owner,Diesel,Manual,18-10-2021,Rs.5.49 Lakh,5.49
729,HyundaiXcentS,2015,2021,421608,6,4.2,29978,581000,First Owner,Petrol,Manual,2/7/2021,Rs.5.81 Lakh,5.81
730,MarutiAltoK10,2015,2021,246499,6,4.1,95412,400000,First Owner,Petrol,Manual,21-07-2021,Rs.4 Lakh,4
731,MarutiAlto800,2018,2021,269199,3,4.7,23280,448000,First Owner,Petrol,Manual,13-03-2021,Rs.4.48 Lakh,4.48
732,HyundaiCreta1.6SXPLUS,2016,2021,1043299,5,4.8,56830,1350245,Second Owner,Petrol,Manual,Comp,"13,50,245",1350245
733,MarutiBalenoDELTA1.2,2016,2021,524199,5,4.8,20092,590000,First Owner,Petrol,Manual,20-01-2021,"Rs.5,90,000",590000
734,Hyundaii20SPORTZ1.2,2012,2021,481199,9,4.4,61801,859000,First Owner,Petrol,Manual,28-05-2021,Rs.8.59 Lakh,8.59
735,MarutiSwift,2017,2021,528799,4,4.7,29075,549000,First Owner,Petrol,Manual,15-01-2022,Rs.5.49 Lakh,5.49
736,MarutiErtigaVDI,2018,2021,931499,3,4.6,6993,987000,First Owner,Diesel,Manual,6/11/2021,9.87 Lakh,9.87
737,MarutiCelerioVXI,2016,2021,333347,5,4.5,51639,492000,First Owner,Petrol,Automatic,27-10-2021,Rs.4.92 Lakh,4.92
738,HyundaiElitei20ASTA,2018,2021,672599,3,4.8,11962,907235,First Owner,Petrol,Manual,20-11-2021,"9,07,235",907235
739,HyundaiSantroXingGL,2014,2021,258199,7,4.4,33437,369000,First Owner,Petrol,Manual,11/1/2021,Rs.3.69 Lakh,3.69
740,SkodaRapid1.6TDIMT,2013,2021,353299,8,4.5,55140,1000000,First Owner,Diesel,Manual,31-12-2020,Rs.10 Lakh,10
741,FordEcosport1.0ECOBOOST,2014,2021,423799,7,4.1,35525,963301,Second Owner,Petrol,Manual,Expired,"Rs.9,63,301",963301
742,MarutiAltoK10,2012,2021,227299,9,4.4,61587,400000,First Owner,Petrol,Manual,17-07-2021,Rs.4 Lakh,4
743,Hyundaii10MAGNA1.2,2010,2021,242599,11,4.4,56697,461681,Second Owner,Petrol,Manual,1/2/2021,"Rs.4,61,681",461681
744,VolkswagenVentoHIGHLINETDI,2016,2021,616999,5,4.3,88336,1272000,First Owner,Diesel,Automatic,Expired,Rs.12.72 Lakh,12.72
745,RenaultKwidRXT1.0EASY-RAT,2018,2021,443999,3,4.7,17990,420000,First Owner,Petrol,Automatic,18-12-2021,Rs.4.20 Lakh,4.2
746,HyundaiEonERA,2015,2021,248499,6,4.6,50772,332000,First Owner,Petrol,Manual,1/12/2021,Rs.3.32 Lakh,3.32
747,HondaBrio1.2VXMTI,2015,2021,317199,6,4.1,27624,575000,Second Owner,Petrol,Manual,29-06-2021,Rs.5.75 Lakh,5.75
748,MarutiSwift,2012,2021,311399,9,4.4,142099,549000,First Owner,Diesel,Manual,23-10-2021,Rs.5.49 Lakh,5.49
749,ToyotaFortuner3.0AT,2012,2021,1054799,9,4.3,172356,3370000,Third Owner,Diesel,Automatic,28-09-2021,Rs.33.70 Lakh,33.7
750,MarutiSwift,2011,2021,294046,10,4.3,81523,549000,Second Owner,Petrol,Manual,26-09-2021,Rs.5.49 Lakh,5.49
751,MarutiSwiftDzireVXI1.2BS,2012,2021,364499,9,4.2,45247,657000,First Owner,Petrol,Manual,1/5/2021,Rs.6.57 Lakh,6.57
752,HyundaiEonERA,2015,2021,251899,6,4.3,40111,332000,Third Owner,Petrol,Manual,11/1/2021,Rs.3.32 Lakh,3.32
753,MarutiRitzZXI,2015,2021,518471,6,4.6,18966,549738,First Owner,Petrol,Manual,9/1/2022,"Rs.5,49,738",549738
754,MarutiSwift,2013,2021,286199,8,4.4,137850,549000,First Owner,Diesel,Manual,11/9/2020,Rs.5.49 Lakh,5.49
755,MarutiBalenoDELTA1.2,2016,2021,499799,5,4.6,45880,590000,First Owner,Petrol,Manual,2/8/2021,"Rs.5,90,000",590000
756,MarutiCelerioVXI,2018,2021,444144,3,4.4,109531,492000,First Owner,Petrol + CNG,Manual,31-07-2021,Rs.4.92 Lakh,4.92
757,MarutiSwiftVXI,2017,2021,592875,4,4.4,35078,619000,First Owner,Petrol,Manual,19-10-2021,Rs.6.19 Lakh,6.19
758,HyundaiElitei20ASTA,2018,2021,745699,3,4.9,2594,907235,First Owner,Petrol,Manual,11/3/2021,"9,07,235",907235
759,HyundaiSantroXing,2008,2021,209499,13,4,43520,400374,Second Owner,Petrol,Manual,6/1/2021,"Rs.4,00,374",400374
760,MarutiEeco5STRCNGWITHAC,2018,2021,335193,3,4.6,52886,518000,First Owner,Petrol + CNG,Manual,25-03-2021,Rs.5.18 Lakh,5.18
761,HyundaiCreta1.4EPLUS,2017,2021,819099,4,4.6,55210,999990,First Owner,Diesel,Manual,Zero_Dep,"Rs.9,99,990",999990
762,MarutiSwiftDzireVDI,2017,2021,634699,4,4.5,34247,757622,First Owner,Diesel,Manual,Comp,"Rs.7,57,622",757622
763,HondaAccord2.4ATI,2009,2021,291099,12,3.6,163326,4321000,Second Owner,Petrol,Automatic,Expired,Rs.43.21 Lakh,43.21
764,Hyundaii10ERA1.1,2013,2021,227899,8,3.9,21614,445000,Second Owner,Petrol,Manual,14-04-2021,4.45 Lakh,4.45
765,MarutiAltoK10VXI(O),2018,2021,426899,3,4.9,6111,394036,First Owner,Petrol,Automatic,Zero_Dep,"Rs.3,94,036",394036
766,HondaCityV,2018,2021,979661,3,4.6,119791,1099000,First Owner,Petrol,Automatic,Zero Depreciation,Rs.10.99 Lakh,10.99
767,RenaultDuster85PSRXL,2014,2021,413600,7,4.3,63803,1046000,First Owner,Diesel,Manual,12/3/2021,Rs.10.46 Lakh,10.46
768,MarutiDzire,2017,2021,612699,4,4.9,4595,750000,First Owner,Petrol,Manual,8/12/2021,Rs.7.50 Lakh,7.5
769,MarutiRitz,2010,2021,160399,11,3.8,116148,545000,Second Owner,Petrol,Manual,23-02-2021,Rs.5.45 Lakh,5.45
770,HondaBrio1.2SMTI,2014,2021,304899,7,4.3,58058,523000,First Owner,Petrol,Manual,21-03-2021,Rs.5.23 Lakh,5.23
771,RenaultDusterRXZDIESEL,2013,2021,588899,8,3.9,141346,1102000,First Owner,Diesel,Manual,9/12/2020,11.02 Lakh,11.02
772,HondaAmaze1.5SMTI,2013,2021,276799,8,4.3,74085,826000,First Owner,Diesel,Manual,19-06-2021,Rs.8.26 Lakh,8.26
773,MarutiVitaraBrezza,2018,2021,743899,3,4.8,21239,940000,First Owner,Diesel,Manual,30-08-2021,Rs.9.40 Lakh,9.4
774,HyundaiEonMAGNA,2014,2021,217999,7,4.2,42346,416000,First Owner,Petrol,Manual,28-04-2021,Rs.4.16 Lakh,4.16
775,MarutiWagonR1.0LXI,2012,2021,180899,9,3.7,56849,465000,Third Owner,Petrol + CNG,Manual,Expired,Rs.4.65 Lakh,4.65
776,MarutiDzire,2018,2021,546599,3,4.6,25826,750000,First Owner,Petrol,Manual,23-08-2021,Rs.7.50 Lakh,7.5
777,Hyundaii20SPORTZ1.2,2011,2021,312099,10,4,80781,859000,Third Owner,Petrol,Manual,7/5/2021,Rs.8.59 Lakh,8.59
778,Hyundaii20MAGNAO1.4,2013,2021,447399,8,4.1,51472,666000,First Owner,Diesel,Manual,4/8/2021,Rs.6.66 Lakh,6.66
779,HondaBrio1.2VXATI,2017,2021,474899,4,4.6,21479,580000,First Owner,Petrol,Automatic,20-03-2021,Rs.5.80 Lakh,5.8
780,RenaultDuster85PS,2013,2021,320799,8,4.2,132735,1046000,First Owner,Diesel,Manual,20-09-2021,Rs.10.46 Lakh,10.46
781,MarutiEeco5STRWITHAC,2017,2021,364299,4,4.4,23627,438000,First Owner,Petrol + CNG,Manual,Expired,Rs.4.38 Lakh,4.38
782,MarutiErtigaVXI,2018,2021,802599,3,4.4,34489,844000,First Owner,Petrol + CNG,Manual,8/8/2021,Rs.8.44 Lakh,8.44
783,HyundaiGrandi10ASTA1.2KAPPA,2015,2021,487199,6,4.6,12833,552000,First Owner,Petrol,Manual,23-02-2021,Rs.5.52 Lakh,5.52
784,DatsunRediGo,2016,2021,245999,5,4,21683,286000,First Owner,Petrol,Manual,2/8/2021,Rs.2.86 Lakh,2.86
785,MarutiAltoK10,2014,2021,335899,7,4.1,51984,400000,First Owner,Petrol,Manual,18-01-2021,Rs.4 Lakh,4
