Sr. No.,Model,Year,Current year,Selling Price,Age of Vehicle,Car Condition,Kilometers Driven, Current Price ,Owner,Fuel Type,Transmission,Insurance,Current Price (Unformatted),Price Formatting
1945,MarutiErtiga,2013,2021,481499,8,4.2,167408,769000,First Owner,Diesel,Manual,16-05-2021,Rs.7.69 Lakh,7.69
1946,MarutiWagonR1.0VXI,2015,2021,399899,6,4.7,22900,594000,First Owner,Petrol,Automatic,27-12-2021,Rs.5.94 Lakh,5.94
1947,MarutiRitz,2010,2021,220099,11,4.3,53689,545000,First Owner,Petrol,Manual,21-03-2021,Rs.5.45 Lakh,5.45
1948,MarutiSwiftDzireVXI,2014,2021,465999,7,4.3,32732,679000,First Owner,Petrol,Automatic,29-07-2021,"Rs.6,79,000",679000
1949,MarutiZenEstilo,2012,2021,177409,9,4.3,43357,395000,First Owner,Petrol,Manual,26-12-2021,Rs.3.95 Lakh,3.95
1950,MarutiSwiftDzireVXI1.2BS,2014,2021,440099,7,4.3,58410,657000,First Owner,Petrol,Manual,15-04-2021,Rs.6.57 Lakh,6.57
1951,MarutiSwift,2011,2021,434599,10,4.1,103268,549000,Second Owner,Diesel,Manual,29-03-2021,Rs.5.49 Lakh,5.49
1952,RenaultDuster85PS,2013,2021,435499,8,4.1,94268,1046000,First Owner,Diesel,Manual,21-01-2021,Rs.10.46 Lakh,10.46
1953,MarutiRitz,2013,2021,293999,8,4.3,76553,545000,First Owner,Diesel,Manual,3/7/2021,Rs.5.45 Lakh,5.45
1954,HyundaiGrandi10ASTA1.2AT,2015,2021,633180,6,4.4,23738,552005,Second Owner,Petrol,Automatic,Expired,"Rs.5,52,005",552005
1955,Hyundaii20SPORTZO1.4,2012,2021,243299,9,4.2,118130,759000,Third Owner,Diesel,Manual,6/12/2021,Rs.7.59 Lakh,7.59
1956,MarutiCelerio,2015,2021,283799,6,4.4,73484,453000,Second Owner,Diesel,Manual,15-12-2021,Rs.4.53 Lakh,4.53
1957,MarutiAltoK10,2011,2021,209099,10,3.9,85649,400000,Second Owner,Petrol,Manual,5/11/2021,Rs.4 Lakh,4
1958,MarutiVitaraBrezza,2018,2021,828099,3,4.9,26212,940000,First Owner,Diesel,Manual,16-11-2021,Rs.9.40 Lakh,9.4
1959,Hyundaii20ASTA,2011,2021,301599,10,4.3,40583,869000,First Owner,Petrol,Manual,15-05-2021,Rs.8.69 Lakh,8.69
1960,MarutiRitzVXI,2010,2021,237193,11,4.1,95950,489163,First Owner,Petrol,Manual,26-09-2021,"Rs.4,89,163",489163
1961,MarutiBalenoZETA1.2K12,2016,2021,683999,5,5,16491,717000,First Owner,Petrol,Automatic,1/1/2021,Rs.7.17 Lakh,7.17
1962,FordEcosport1.5TITANIUMTIVCT,2017,2021,738399,4,4.9,33932,764000,First Owner,Petrol,Automatic,23-01-2021,Rs.7.64 Lakh,7.64
1963,MarutiSwift,2013,2021,338699,8,4,81690,549000,First Owner,Petrol,Manual,13-05-2021,Rs.5.49 Lakh,5.49
1964,Hyundaii20SPORTZ1.2,2012,2021,376899,9,4.3,31613,859000,First Owner,Petrol,Manual,15-10-2021,Rs.8.59 Lakh,8.59
